model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
kalm-12b,C4,javascript,ordinal,none,0.4887358121757442,0.0191426514422874,0.7153794826554657,0.2963092478569063,0.3826058925683896,0.6042814280788387,0.810137944904685,0.3869532004499983,0.1535706752694549
openai-large,C4,javascript,nominal,none,0.4869013924726526,0.0289288170105351,0.7227697759403326,0.2892077213617203,0.4103850745442236,0.6005399692540726,0.807878306307112,0.4627234073392231,0.0764638869902027
cohere,C4,javascript,ordinal,none,0.4861967369100027,0.0224801922734974,0.7127661768634714,0.2966218420023952,0.3767572560814954,0.5924404801561244,0.8064364929888743,0.40032586136526,0.145584113129752
openai-large,C3,javascript,ordinal,none,0.4849141346994229,0.013545858931538,0.7046917056121884,0.309715440980582,0.3658921138466589,0.5610288071246867,0.7977901080788481,0.4185015725484287,0.1623360510457284
qwen3-4b,C4,javascript,nominal,none,0.4789719401593772,0.0250292131379188,0.7008021167470266,0.3144535266744513,0.3666886172196341,0.5629288433301618,0.79058662897482,0.4270922450433304,0.1352800432891966
jina-v5-small,C4,javascript,ordinal,none,0.4757641076159745,0.0207788777725321,0.7182799141560186,0.2778486401967936,0.3690960614242985,0.5738641096594034,0.8224967988513063,0.3789484863800662,0.1277470355731225
jina-v5-small,C2b,javascript,nominal,concat,0.4740659735139097,0.0156665318137775,0.7154071697586011,0.3013563174890884,0.39963994300669,0.6116043072576496,0.7999117473292563,0.4406898684542398,0.0440579710144927
cohere,C3,javascript,ordinal,none,0.4672189964576357,0.0107286621807435,0.7114848870903387,0.296466603093823,0.3681438940212588,0.6065745539034626,0.8081996976742808,0.3714737326247976,0.0826280016280016
voyage,C2a,react,ordinal,none,0.6622865018367908,0.0091315131720454,0.7584623797810487,0.2417170643289123,0.6000037960503409,0.7921884035944574,0.8214571773147649,0.6840941566877368,0.3514062697502046
voyage,C1a,react,ordinal,none,0.6489959127787446,0.0111471739315432,0.7444776169025442,0.2562298481970127,0.5775184349587124,0.7797526738273568,0.8058409433990537,0.6724020597548633,0.3379879741337044
gemini,C2a,react,ordinal,none,0.6168088148122175,0.0190915114288591,0.7177034789078661,0.2877896568809304,0.5331623689034741,0.7312461733758737,0.7897506567715438,0.6351218341627497,0.3111165949387026
gemini,C1a,react,ordinal,none,0.6128228197601978,0.0192860244266517,0.7108835446664961,0.2928358550837941,0.5213816592423446,0.7360093269191117,0.7831123016213807,0.622176194438018,0.3099934560622808
